Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
178872,27in FHD Monitor,1,149.99,04/05/23 20:12,"20 North St, Atlanta, GA 30301"
178873,ThinkPad Laptop,1,999.99,04/05/23 19:33,"544 14th St, San Francisco, CA 94016"
178874,Apple Airpods Headphones,1,150.0,04/20/23 09:47,"877 7th St, New York City, NY 10001"
178875,27in 4K Gaming Monitor,1,389.99,04/10/23 11:30,"168 River St, Portland, OR 97035"
178876,Apple Airpods Headphones,1,150.0,04/09/23 10:38,"919 Jefferson St, New York City, NY 10001"
178877,Bose SoundSport Headphones,1,99.99,04/23/23 08:47,"924 Forest St, Seattle, WA 98101"
178878,34in Ultrawide Monitor,1,379.99,04/21/23 08:48,"857 8th St, San Francisco, CA 94016"
178879,27in FHD Monitor,1,149.99,04/24/23 14:01,"355 Sunset St, Los Angeles, CA 90001"
178880,Nokia Phone,1,650.0,04/29/23 21:40,"205 Maple St, Atlanta, GA 30301"
178881,Bose SoundSport Headphones,1,99.99,04/10/23 18:46,"787 1st St, Boston, MA 02215"
178882,Bose SoundSport Headphones,1,99.99,04/16/23 09:50,"491 Ridge St, San Francisco, CA 94016"
178883,AAA Batteries (4-pack),1,2.99,04/02/23 23:16,"295 Park St, Atlanta, GA 30301"
178884,Lightning Charging Cable,1,14.95,04/30/23 11:11,"651 Lake St, Boston, MA 02215"
178885,27in FHD Monitor,1,149.99,04/17/23 23:35,"473 14th St, San Francisco, CA 94016"
178886,Bose SoundSport Headphones,1,99.99,04/22/23 02:00,"516 South St, San Francisco, CA 94016"
178887,AA Batteries (4-pack),2,3.84,04/06/23 20:35,"872 Highland St, New York City, NY 10001"
178888,iPhone,1,700.0,04/27/23 19:54,"814 Cherry St, Los Angeles, CA 90001"
178889,AA Batteries (4-pack),1,3.84,04/04/23 20:53,"250 13th St, Boston, MA 02215"
178890,AA Batteries (4-pack),1,3.84,04/16/23 18:41,"372 Main St, Seattle, WA 98101"
178891,AAA Batteries (4-pack),1,2.99,04/22/23 09:30,"703 Highland St, Austin, TX 73301"
178892,Lightning Charging Cable,1,14.95,04/06/23 17:43,"155 1st St, San Francisco, CA 94016"
178893,Lightning Charging Cable,1,14.95,04/09/23 13:50,"781 Jefferson St, Los Angeles, CA 90001"
178894,Lightning Charging Cable,1,14.95,04/07/23 19:51,"233 5th St, Dallas, IL 75001"
178895,Apple Airpods Headphones,1,150.0,04/01/23 17:02,"128 14th St, San Francisco, CA 94016"
178896,Bose SoundSport Headphones,1,99.99,04/16/23 21:09,"982 Elm St, Boston, MA 02215"
178897,USB-C Charging Cable,1,11.95,04/18/23 12:09,"52 South St, San Francisco, CA 94016"
178898,Apple Airpods Headphones,1,150.0,04/02/23 18:25,"864 11th St, Boston, MA 02215"
178899,USB-C Charging Cable,1,11.95,04/06/23 09:38,"766 Cherry St, San Francisco, CA 94016"
178900,AA Batteries (4-pack),5,3.84,04/02/23 22:10,"658 Willow St, New York City, NY 10001"
178901,USB-C Charging Cable,1,11.95,04/05/23 23:57,"872 Spruce St, New York City, NY 10001"
178902,Lightning Charging Cable,1,14.95,04/13/23 20:44,"243 Hickory St, Los Angeles, CA 90001"
178903,Nokia Phone,1,650.0,04/28/23 02:43,"38 Wilson St, Austin, TX 73301"
178904,USB-C Charging Cable,1,11.95,04/04/23 06:07,"450 Lincoln St, Los Angeles, CA 90001"
178905,Wired Headphones,1,11.99,04/02/23 11:02,"416 14th St, San Francisco, CA 94016"
178906,Lightning Charging Cable,1,14.95,04/25/23 19:22,"783 Church St, Austin, TX 73301"
178907,AA Batteries (4-pack),2,3.84,04/30/23 10:54,"313 Walnut St, Dallas, IL 75001"
178908,Wired Headphones,1,11.99,04/04/23 20:24,"460 Lincoln St, Atlanta, GA 30301"
178909,Lightning Charging Cable,1,14.95,04/17/23 11:18,"774 10th St, Austin, TX 73301"
178910,34in Ultrawide Monitor,1,379.99,04/26/23 08:43,"232 Hickory St, Los Angeles, CA 90001"
178911,AA Batteries (4-pack),1,3.84,04/26/23 09:51,"775 River St, Boston, MA 02215"
178912,Wired Headphones,1,11.99,04/23/23 10:21,"952 North St, Portland, OR 97035"
178913,27in 4K Gaming Monitor,1,389.99,04/28/23 08:20,"115 5th St, Portland, OR 97035"
178914,Wired Headphones,1,11.99,04/13/23 19:21,"246 Willow St, Seattle, WA 98101"
178915,ThinkPad Laptop,1,999.99,04/04/23 12:23,"92 Meadow St, Portland, ME 04101"
,,,,,
178916,34in Ultrawide Monitor,1,379.99,04/05/23 16:09,"274 Main St, San Francisco, CA 94016"
178917,AA Batteries (4-pack),1,3.84,04/21/23 18:26,"462 North St, Los Angeles, CA 90001"
178918,iPhone,1,700,04/12/23 23:12,"272 West St, Los Angeles, CA 90001"
178919,AAA Batteries (4-pack),1,2.99,04/23/23 22:47,"232 Church St, New York City, NY 10001"
178920,USB-C Charging Cable,1,11.95,04/30/23 18:25,"304 Spruce St, San Francisco, CA 94016"
178921,Apple Airpods Headphones,1,150,04/01/23 23:27,"668 Madison St, Dallas, IL 75001"
178922,34in Ultrawide Monitor,1,379.99,04/02/23 21:57,"42 Pine St, San Francisco, CA 94016"
178923,AAA Batteries (4-pack),1,2.99,04/19/23 18:52,"828 Pine St, New York City, NY 10001"
178924,Lightning Charging Cable,1,14.95,04/10/23 16:12,"409 Spruce St, Los Angeles, CA 90001"
