Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
220304,Bose SoundSport Headphones,1,99.99,08/03/23 19:18,"719 9th St, Los Angeles, CA 90001"
220305,USB-C Charging Cable,1,11.95,08/08/23 12:15,"607 Spruce St, Seattle, WA 98101"
220306,USB-C Charging Cable,2,11.95,08/24/23 18:35,"759 10th St, Dallas, IL 75001"
220307,AAA Batteries (4-pack),1,2.99,08/14/23 10:23,"38 Ridge St, Los Angeles, CA 90001"
220308,iPhone,1,700.0,08/22/23 17:48,"314 Hickory St, Dallas, IL 75001"
220309,Nokia Phone,1,650.0,08/14/23 16:32,"58 Sunset St, Boston, MA 02215"
220310,27in FHD Monitor,1,149.99,08/09/23 22:02,"645 12th St, Los Angeles, CA 90001"
220311,Lightning Charging Cable,1,14.95,08/03/23 12:28,"68 Willow St, Seattle, WA 98101"
220312,AAA Batteries (4-pack),1,2.99,08/12/23 15:37,"14 9th St, Boston, MA 02215"
220313,USB-C Charging Cable,1,11.95,08/24/23 20:32,"922 Center St, Portland, ME 04101"
220314,AA Batteries (4-pack),1,3.84,08/12/23 13:52,"280 Hill St, Boston, MA 02215"
220315,Apple Airpods Headphones,1,150.0,08/04/23 06:34,"989 Highland St, San Francisco, CA 94016"
220316,Wired Headphones,1,11.99,08/03/23 19:58,"599 Sunset St, Los Angeles, CA 90001"
220317,34in Ultrawide Monitor,1,379.99,08/05/23 07:52,"57 Elm St, New York City, NY 10001"
220318,Apple Airpods Headphones,1,150.0,08/15/23 20:12,"373 West St, Atlanta, GA 30301"
220319,Lightning Charging Cable,1,14.95,08/27/23 10:29,"6 Elm St, Los Angeles, CA 90001"
220320,Lightning Charging Cable,2,14.95,08/05/23 00:07,"781 Main St, Atlanta, GA 30301"
220321,27in 4K Gaming Monitor,1,389.99,08/25/23 16:12,"321 Adams St, Los Angeles, CA 90001"
220321,Bose SoundSport Headphones,1,99.99,08/25/23 16:12,"321 Adams St, Los Angeles, CA 90001"
220322,27in 4K Gaming Monitor,1,389.99,08/09/23 06:34,"151 Meadow St, New York City, NY 10001"
220323,Bose SoundSport Headphones,1,99.99,08/09/23 18:50,"995 Main St, New York City, NY 10001"
220324,Nokia Phone,1,650.0,08/07/23 17:21,"50 2nd St, Seattle, WA 98101"
220325,USB-C Charging Cable,1,11.95,08/08/23 14:25,"677 Lake St, San Francisco, CA 94016"
220326,Nokia Phone,1,650.0,08/26/23 11:58,"216 Sunset St, New York City, NY 10001"
220327,AA Batteries (4-pack),1,3.84,08/21/23 09:24,"560 Lincoln St, Seattle, WA 98101"
220328,Bose SoundSport Headphones,1,99.99,08/06/23 11:06,"697 Cedar St, Los Angeles, CA 90001"
220329,Apple Airpods Headphones,1,150.0,08/28/23 09:52,"174 Jefferson St, Los Angeles, CA 90001"
220330,AAA Batteries (4-pack),3,2.99,08/29/23 09:06,"893 7th St, Dallas, IL 75001"
220331,Nokia Phone,1,650.0,08/05/23 23:50,"9 Walnut St, Portland, OR 97035"
220332,Lightning Charging Cable,1,14.95,08/16/23 17:24,"469 Maple St, New York City, NY 10001"
220333,27in 4K Gaming Monitor,1,389.99,08/22/23 17:00,"780 Center St, Boston, MA 02215"
220334,34in Ultrawide Monitor,1,379.99,08/26/23 20:10,"852 4th St, San Francisco, CA 94016"
220335,AA Batteries (4-pack),1,3.84,08/06/23 21:42,"447 1st St, Seattle, WA 98101"
220336,Apple Airpods Headphones,1,150.0,08/16/23 16:25,"530 7th St, San Francisco, CA 94016"
220337,USB-C Charging Cable,1,11.95,08/09/23 18:04,"808 Elm St, Atlanta, GA 30301"
220338,Lightning Charging Cable,1,14.95,08/20/23 14:50,"490 North St, San Francisco, CA 94016"
220339,AA Batteries (4-pack),1,3.84,08/11/23 19:53,"433 14th St, San Francisco, CA 94016"
220340,Wired Headphones,2,11.99,08/02/23 01:04,"149 Willow St, Dallas, IL 75001"
220341,Lightning Charging Cable,1,14.95,08/05/23 12:53,"893 Lake St, San Francisco, CA 94016"
220342,Nokia Phone,1,650.0,08/26/23 09:45,"818 Jackson St, Atlanta, GA 30301"
220343,iPhone,1,700.0,08/20/23 07:45,"702 Center St, Boston, MA 02215"
220344,AAA Batteries (4-pack),2,2.99,08/22/23 23:17,"228 West St, Boston, MA 02215"
220345,USB-C Charging Cable,2,11.95,08/18/23 19:42,"460 Hill St, Austin, TX 73301"
220346,Apple Airpods Headphones,1,150.0,08/23/23 11:05,"960 1st St, New York City, NY 10001"
220347,AA Batteries (4-pack),1,3.84,08/16/23 07:54,"935 Highland St, New York City, NY 10001"
220348,ThinkPad Laptop,1,999.99,08/13/23 11:11,"699 Washington St, San Francisco, CA 94016"
220349,ThinkPad Laptop,1,999.99,08/29/23 18:58,"844 West St, Los Angeles, CA 90001"
220350,Apple Airpods Headphones,1,150.0,08/22/23 14:03,"141 Walnut St, San Francisco, CA 94016"
220351,Nokia Phone,1,650.0,08/19/23 17:56,"540 River St, Atlanta, GA 30301"
220352,34in Ultrawide Monitor,1,379.99,08/12/23 17:51,"958 5th St, New York City, NY 10001"
220353,Lightning Charging Cable,1,14.95,08/25/23 12:12,"394 Adams St, San Francisco, CA 94016"
220354,iPhone,1,700.0,08/10/23 15:21,"841 13th St, Portland, OR 97035"
220355,27in FHD Monitor,1,149.99,08/18/23 13:02,"36 4th St, Boston, MA 02215"
220356,20in Monitor,1,109.99,08/12/23 19:19,"528 12th St, Austin, TX 73301"
220357,AA Batteries (4-pack),1,3.84,08/13/23 18:52,"600 North St, Portland, OR 97035"
220358,27in 4K Gaming Monitor,1,389.99,08/16/23 12:29,"93 7th St, Boston, MA 02215"
220359,Lightning Charging Cable,2,14.95,08/10/23 08:30,"879 Maple St, Los Angeles, CA 90001"
220360,Samsung Phone,1,500.0,08/23/23 07:31,"535 Lakeview St, Los Angeles, CA 90001"
220361,Wired Headphones,1,11.99,08/30/23 15:39,"671 Walnut St, Los Angeles, CA 90001"
220362,AAA Batteries (4-pack),1,2.99,08/14/23 18:12,"818 Lake St, Boston, MA 02215"
220363,AA Batteries (4-pack),1,3.84,08/05/23 01:30,"295 8th St, Austin, TX 73301"
220364,Bose SoundSport Headphones,1,99.99,08/24/23 11:37,"520 Main St, Austin, TX 73301"
220365,Samsung Phone,1,500.0,08/07/23 21:42,"704 Maple St, San Francisco, CA 94016"
220366,iPhone,1,700.0,08/28/23 21:59,"798 Sunset St, New York City, NY 10001"
220366,Lightning Charging Cable,1,14.95,08/28/23 21:59,"798 Sunset St, New York City, NY 10001"
220367,Nokia Phone,1,650.0,08/17/23 23:17,"404 Cherry St, Seattle, WA 98101"
220368,Flatscreen TV,1,300.0,08/26/23 16:21,"402 10th St, Dallas, IL 75001"
220369,Nokia Phone,1,650.0,08/30/23 19:50,"776 Cherry St, San Francisco, CA 94016"
220370,Wired Headphones,1,11.99,08/09/23 18:42,"14 Elm St, Boston, MA 02215"
220371,27in 4K Gaming Monitor,1,389.99,08/08/23 15:20,"896 River St, Dallas, IL 75001"
220372,AA Batteries (4-pack),1,3.84,08/12/23 07:15,"694 Pine St, Dallas, IL 75001"
220373,iPhone,1,700.0,08/13/23 13:43,"573 Spruce St, Dallas, IL 75001"
220374,AA Batteries (4-pack),2,3.84,08/20/23 12:53,"895 Cedar St, Atlanta, GA 30301"
220375,Bose SoundSport Headphones,1,99.99,08/21/23 00:49,"766 Jefferson St, San Francisco, CA 94016"
220376,Wired Headphones,1,11.99,08/24/23 11:26,"321 Chestnut St, Los Angeles, CA 90001"
220377,Apple Airpods Headphones,1,150.0,08/04/23 21:47,"19 6th St, Seattle, WA 98101"
220378,Apple Airpods Headphones,1,150.0,08/03/23 14:21,"83 10th St, Boston, MA 02215"
220379,Wired Headphones,1,11.99,08/06/23 16:36,"651 Forest St, New York City, NY 10001"
220380,AA Batteries (4-pack),1,3.84,08/05/23 16:07,"943 Highland St, Boston, MA 02215"
220381,Apple Airpods Headphones,1,150.0,08/04/23 08:10,"869 Forest St, San Francisco, CA 94016"
220382,Wired Headphones,2,11.99,08/17/23 22:19,"366 6th St, Austin, TX 73301"
220383,AA Batteries (4-pack),1,3.84,08/17/23 11:25,"18 Johnson St, New York City, NY 10001"
220384,Wired Headphones,1,11.99,08/28/23 13:29,"53 Hill St, New York City, NY 10001"
220385,Wired Headphones,1,11.99,08/29/23 10:14,"485 Cedar St, Seattle, WA 98101"
220386,Flatscreen TV,1,300.0,08/25/23 17:58,"337 Washington St, Seattle, WA 98101"
220387,AA Batteries (4-pack),1,3.84,08/07/23 13:45,"535 Ridge St, Seattle, WA 98101"
220388,AAA Batteries (4-pack),1,2.99,08/23/23 12:14,"762 Elm St, San Francisco, CA 94016"
220389,AAA Batteries (4-pack),1,2.99,08/15/23 22:46,"590 13th St, Atlanta, GA 30301"
220390,ThinkPad Laptop,1,999.99,08/07/23 12:32,"104 South St, New York City, NY 10001"
220391,Lightning Charging Cable,1,14.95,08/29/23 13:58,"209 Lincoln St, Atlanta, GA 30301"
220392,USB-C Charging Cable,2,11.95,08/25/23 09:28,"650 Jefferson St, San Francisco, CA 94016"
220393,34in Ultrawide Monitor,1,379.99,08/17/23 00:17,"46 Main St, New York City, NY 10001"
220394,AAA Batteries (4-pack),2,2.99,08/24/23 13:51,"940 Forest St, Dallas, IL 75001"
220395,Apple Airpods Headphones,1,150.0,08/15/23 08:37,"610 Park St, Atlanta, GA 30301"
220396,Samsung Phone,1,500.0,08/13/23 21:52,"59 Wilson St, Austin, TX 73301"
220397,27in 4K Gaming Monitor,1,389.99,08/10/23 20:03,"99 Chestnut St, New York City, NY 10001"
220398,Samsung Phone,1,500.0,08/28/23 14:16,"200 Park St, Los Angeles, CA 90001"
220399,34in Ultrawide Monitor,1,379.99,08/29/23 10:35,"712 7th St, San Francisco, CA 94016"
220400,AAA Batteries (4-pack),1,2.99,08/02/23 10:50,"111 Park St, Los Angeles, CA 90001"
220401,AA Batteries (4-pack),1,3.84,08/06/23 23:11,"773 Spruce St, New York City, NY 10001"
220402,iPhone,1,700.0,08/07/23 19:36,"136 8th St, New York City, NY 10001"
220403,27in FHD Monitor,1,149.99,08/24/23 22:16,"964 West St, Boston, MA 02215"
220404,Bose SoundSport Headphones,1,99.99,08/10/23 13:06,"41 Adams St, Seattle, WA 98101"
220405,iPhone,1,700.0,08/24/23 05:41,"243 11th St, Boston, MA 02215"
220405,Lightning Charging Cable,1,14.95,08/24/23 05:41,"243 11th St, Boston, MA 02215"
220406,USB-C Charging Cable,1,11.95,08/03/23 16:06,"485 9th St, New York City, NY 10001"
220407,Lightning Charging Cable,1,14.95,08/02/23 09:40,"729 Spruce St, San Francisco, CA 94016"
220408,Samsung Phone,1,500.0,08/22/23 21:29,"904 Jefferson St, San Francisco, CA 94016"
220409,Lightning Charging Cable,1,14.95,08/31/23 20:21,"448 Hickory St, Los Angeles, CA 90001"
220410,AAA Batteries (4-pack),1,2.99,08/08/23 12:05,"79 6th St, Atlanta, GA 30301"
220411,Samsung Phone,1,500.0,08/17/23 14:06,"470 Highland St, Dallas, IL 75001"
220412,AAA Batteries (4-pack),2,2.99,08/25/23 21:16,"90 4th St, San Francisco, CA 94016"
220413,AAA Batteries (4-pack),1,2.99,08/04/23 23:12,"286 8th St, Atlanta, GA 30301"
220414,USB-C Charging Cable,1,11.95,08/21/23 10:12,"786 Lincoln St, Boston, MA 02215"
220415,Nokia Phone,1,650.0,08/20/23 11:49,"826 Meadow St, Austin, TX 73301"
220416,Macbook Pro Laptop,1,1700.0,08/01/23 10:51,"197 12th St, New York City, NY 10001"
220417,Lightning Charging Cable,1,14.95,08/23/23 16:08,"876 Johnson St, Dallas, IL 75001"
220418,Wired Headphones,1,11.99,08/12/23 21:26,"926 2nd St, Dallas, IL 75001"
220419,Wired Headphones,1,11.99,08/28/23 11:25,"375 Johnson St, Atlanta, GA 30301"
220420,AA Batteries (4-pack),1,3.84,08/11/23 13:34,"268 4th St, New York City, NY 10001"
220421,Lightning Charging Cable,1,14.95,08/09/23 13:27,"88 Elm St, Dallas, IL 75001"
220422,AAA Batteries (4-pack),1,2.99,08/15/23 23:13,"512 10th St, Los Angeles, CA 90001"
220423,20in Monitor,1,109.99,08/06/23 09:22,"950 Jefferson St, Dallas, IL 75001"
220424,Lightning Charging Cable,1,14.95,08/28/23 07:50,"780 8th St, Boston, MA 02215"
220425,ThinkPad Laptop,1,999.99,08/31/23 08:33,"310 Cedar St, Los Angeles, CA 90001"
220426,Bose SoundSport Headphones,1,99.99,08/26/23 19:17,"515 Elm St, Atlanta, GA 30301"
220427,Wired Headphones,1,11.99,08/01/23 23:57,"947 Wilson St, Boston, MA 02215"
220428,Wired Headphones,1,11.99,08/06/23 13:56,"617 1st St, Seattle, WA 98101"
220429,Macbook Pro Laptop,1,1700.0,08/17/23 15:19,"280 Elm St, San Francisco, CA 94016"
220430,iPhone,1,700.0,08/30/23 11:37,"280 5th St, San Francisco, CA 94016"
220431,Apple Airpods Headphones,1,150.0,08/05/23 00:05,"239 Washington St, Boston, MA 02215"
220432,Samsung Phone,1,500.0,08/30/23 17:50,"558 South St, Portland, OR 97035"
220433,AAA Batteries (4-pack),1,2.99,08/09/23 22:35,"138 Elm St, Boston, MA 02215"
220434,iPhone,1,700.0,08/09/23 18:58,"215 Chestnut St, Dallas, IL 75001"
220435,Flatscreen TV,1,300.0,08/05/23 09:27,"955 Lake St, Boston, MA 02215"
220436,27in FHD Monitor,1,149.99,08/19/23 11:07,"354 Hill St, New York City, NY 10001"
220437,USB-C Charging Cable,1,11.95,08/17/23 22:00,"357 Elm St, Boston, MA 02215"
220438,Lightning Charging Cable,1,14.95,08/14/23 12:15,"780 Forest St, Boston, MA 02215"
220439,27in FHD Monitor,1,149.99,08/17/23 10:13,"929 Wilson St, Austin, TX 73301"
220440,AA Batteries (4-pack),2,3.84,08/09/23 09:49,"131 Ridge St, Boston, MA 02215"
220441,AA Batteries (4-pack),1,3.84,08/23/23 21:39,"988 West St, Boston, MA 02215"
220442,AA Batteries (4-pack),2,3.84,08/26/23 13:43,"807 Ridge St, Atlanta, GA 30301"
220443,Apple Airpods Headphones,1,150.0,08/30/23 09:06,"401 Hill St, Atlanta, GA 30301"
220444,Apple Airpods Headphones,1,150.0,08/12/23 16:32,"969 West St, Boston, MA 02215"
220445,AAA Batteries (4-pack),1,2.99,08/07/23 17:51,"862 5th St, Los Angeles, CA 90001"
220446,Apple Airpods Headphones,1,150.0,08/31/23 19:32,"561 5th St, San Francisco, CA 94016"
220447,Apple Airpods Headphones,1,150.0,08/17/23 21:33,"974 7th St, New York City, NY 10001"
220448,34in Ultrawide Monitor,1,379.99,08/13/23 12:26,"233 Main St, New York City, NY 10001"
220449,Lightning Charging Cable,1,14.95,08/29/23 20:26,"292 7th St, San Francisco, CA 94016"
220450,AA Batteries (4-pack),1,3.84,08/13/23 21:59,"905 Elm St, San Francisco, CA 94016"
