Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
283260,Nokia Phone,1,650,12/05/23 19:12,"455 Washington St, Atlanta, GA 30301"
283261,Bose SoundSport Headphones,1,99.99,12/19/23 19:21,"928 9th St, San Francisco, CA 94016"
283262,USB-C Charging Cable,1,11.95,12/11/23 18:46,"964 Elm St, Los Angeles, CA 90001"
283263,AA Batteries (4-pack),1,3.84,12/29/23 10:50,"697 Jackson St, San Francisco, CA 94016"
283264,Lightning Charging Cable,1,14.95,12/05/23 14:00,"827 Forest St, Los Angeles, CA 90001"
283265,Lightning Charging Cable,1,14.95,12/23/23 22:28,"84 9th St, Austin, TX 73301"
283266,Flatscreen TV,1,300,12/01/23 15:51,"715 Park St, Portland, OR 97035"
283267,27in 4K Gaming Monitor,1,389.99,12/22/23 13:14,"517 13th St, Seattle, WA 98101"
283268,Bose SoundSport Headphones,1,99.99,12/26/23 16:29,"878 Hill St, San Francisco, CA 94016"
283269,Lightning Charging Cable,1,14.95,12/04/23 17:32,"864 Dogwood St, Boston, MA 02215"
283270,USB-C Charging Cable,1,11.95,12/12/23 13:50,"891 Lake St, Seattle, WA 98101"
283271,Wired Headphones,1,11.99,12/15/23 06:40,"294 Highland St, Portland, OR 97035"
283272,USB-C Charging Cable,1,11.95,12/27/23 12:11,"506 Dogwood St, Seattle, WA 98101"
283273,AA Batteries (4-pack),1,3.84,12/17/23 22:38,"228 Lakeview St, Los Angeles, CA 90001"
283274,Wired Headphones,1,11.99,12/27/23 18:49,"145 6th St, New York City, NY 10001"
283275,Lightning Charging Cable,1,14.95,12/21/23 10:04,"519 Jackson St, Atlanta, GA 30301"
283276,Lightning Charging Cable,1,14.95,12/22/23 13:44,"554 Hill St, New York City, NY 10001"
283277,Lightning Charging Cable,1,14.95,12/24/23 17:01,"842 Madison St, Los Angeles, CA 90001"
283278,27in FHD Monitor,1,149.99,12/04/23 15:30,"220 11th St, Seattle, WA 98101"
283279,AAA Batteries (4-pack),3,2.99,12/10/23 11:26,"307 Church St, Austin, TX 73301"
283280,Macbook Pro Laptop,1,1700,12/28/23 00:51,"80 Spruce St, Portland, OR 97035"
283281,Bose SoundSport Headphones,1,99.99,12/01/23 23:14,"456 Park St, Boston, MA 02215"
283282,AAA Batteries (4-pack),1,2.99,12/07/23 07:39,"564 6th St, Portland, OR 97035"
