Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
151967,Samsung Phone,1,500,02/28/23 13:51,"868 Church St, Dallas, IL 75001"
151968,Wired Headphones,1,11.99,02/11/23 17:08,"883 Lakeview St, Los Angeles, CA 90001"
151969,Wired Headphones,1,11.99,02/22/23 13:16,"666 Lakeview St, Dallas, IL 75001"
151970,Lightning Charging Cable,1,14.95,02/27/23 03:42,"514 Elm St, Los Angeles, CA 90001"
151971,Lightning Charging Cable,1,14.95,02/18/23 03:26,"386 Cedar St, Los Angeles, CA 90001"
151972,Wired Headphones,1,11.99,02/12/23 07:59,"200 Sunset St, San Francisco, CA 94016"
151973,Lightning Charging Cable,1,14.95,02/20/23 23:02,"895 West St, Boston, MA 02215"
151974,AA Batteries (4-pack),1,3.84,02/20/23 20:08,"164 Madison St, San Francisco, CA 94016"
151975,AAA Batteries (4-pack),3,2.99,02/28/23 09:50,"627 Willow St, Austin, TX 73301"
151976,Lightning Charging Cable,1,14.95,02/22/23 23:44,"417 Forest St, Dallas, IL 75001"
151977,Wired Headphones,2,11.99,02/26/23 20:15,"12 1st St, New York City, NY 10001"
151978,AAA Batteries (4-pack),1,2.99,02/25/23 08:02,"851 7th St, Boston, MA 02215"
151979,AA Batteries (4-pack),3,3.84,02/22/23 19:42,"14 Lake St, Los Angeles, CA 90001"
151980,Vareebadd Phone,1,400,02/28/23 02:16,"712 Dogwood St, Boston, MA 02215"
151980,Bose SoundSport Headphones,1,99.99,02/28/23 02:16,"712 Dogwood St, Boston, MA 02215"
151981,Lightning Charging Cable,1,14.95,02/05/23 13:34,"27 Johnson St, Austin, TX 73301"
151982,Wired Headphones,1,11.99,02/04/23 00:30,"893 Lake St, New York City, NY 10001"
151983,Macbook Pro Laptop,1,1700,02/01/23 17:47,"56 Sunset St, San Francisco, CA 94016"
151984,34in Ultrawide Monitor,1,379.99,02/02/23 13:40,"202 Lake St, Boston, MA 02215"
151985,Lightning Charging Cable,1,14.95,02/22/23 17:41,"778 12th St, Atlanta, GA 30301"
151986,USB-C Charging Cable,1,11.95,02/27/23 16:47,"550 Meadow St, Austin, TX 73301"
151987,Flatscreen TV,1,300,02/12/23 22:07,"334 Jackson St, Dallas, IL 75001"
151988,Wired Headphones,1,11.99,02/06/23 01:14,"129 Pine St, San Francisco, CA 94016"
151989,AA Batteries (4-pack),1,3.84,02/16/23 09:20,"145 13th St, Portland, OR 97035"
151990,34in Ultrawide Monitor,1,379.99,02/05/23 18:57,"677 Dogwood St, San Francisco, CA 94016"
151991,20in Monitor,1,109.99,02/17/23 19:27,"373 4th St, New York City, NY 10001"
151992,Vareebadd Phone,1,400,02/10/23 18:31,"312 Cherry St, San Francisco, CA 94016"
151992,Wired Headphones,1,11.99,02/10/23 18:31,"312 Cherry St, San Francisco, CA 94016"
151993,27in 4K Gaming Monitor,1,389.99,02/19/23 12:22,"54 7th St, New York City, NY 10001"
151994,Bose SoundSport Headphones,1,99.99,02/20/23 10:20,"210 Chestnut St, Boston, MA 02215"
151995,USB-C Charging Cable,1,11.95,02/06/23 20:53,"962 Sunset St, Los Angeles, CA 90001"
151996,AAA Batteries (4-pack),1,2.99,02/02/23 20:11,"914 Maple St, Dallas, IL 75001"
151997,Nokia Phone,1,650,02/20/23 21:23,"23 Pine St, Seattle, WA 98101"
151998,Bose SoundSport Headphones,1,99.99,02/12/23 14:55,"988 Forest St, Dallas, IL 75001"
151998,Nokia Phone,1,650,02/12/23 14:55,"988 Forest St, Dallas, IL 75001"
151999,Bose SoundSport Headphones,1,99.99,02/03/23 09:03,"372 Lakeview St, Atlanta, GA 30301"
152000,Wired Headphones,1,11.99,02/04/23 23:57,"773 Lake St, New York City, NY 10001"
152000,LG Dryer,1,600.0,02/04/23 23:57,"773 Lake St, New York City, NY 10001"
