Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
141234,AAA Batteries (4-pack),1,2.99,01/14/23 18:51,"589 North St, San Francisco, CA 94016"
141235,27in 4K Gaming Monitor,1,389.99,01/26/23 07:02,"504 Forest St, San Francisco, CA 94016"
141236,Apple Airpods Headphones,1,150.0,01/23/23 11:34,"723 West St, Portland, OR 97035"
141237,Wired Headphones,2,11.99,01/18/23 13:06,"634 Lakeview St, Boston, MA 02215"
141238,Wired Headphones,1,11.99,01/31/23 15:38,"882 1st St, Austin, TX 73301"
141239,iPhone,1,700.0,01/06/23 20:48,"857 7th St, New York City, NY 10001"
141240,Lightning Charging Cable,1,14.95,01/25/23 22:33,"263 13th St, Los Angeles, CA 90001"
141241,Wired Headphones,1,11.99,01/28/23 10:25,"797 4th St, Atlanta, GA 30301"
141242,AA Batteries (4-pack),1,3.84,01/15/23 13:53,"179 Johnson St, Dallas, IL 75001"
141243,27in FHD Monitor,1,149.99,01/26/23 17:52,"640 Hickory St, Seattle, WA 98101"
141244,Flatscreen TV,1,300.0,01/17/23 00:56,"455 Willow St, Los Angeles, CA 90001"
141245,Bose SoundSport Headphones,1,99.99,01/22/23 17:48,"547 Cherry St, Los Angeles, CA 90001"
141246,Lightning Charging Cable,1,14.95,01/26/23 22:29,"240 Lincoln St, New York City, NY 10001"
141247,Bose SoundSport Headphones,1,99.99,01/12/23 14:25,"854 Lake St, Atlanta, GA 30301"
141248,AAA Batteries (4-pack),1,2.99,01/01/23 09:34,"954 Sunset St, Boston, MA 02215"
141249,AA Batteries (4-pack),1,3.84,01/01/23 10:41,"930 Lake St, San Francisco, CA 94016"
141250,Nokia Phone,1,650.0,01/18/23 06:39,"802 Spruce St, Los Angeles, CA 90001"
141251,Bose SoundSport Headphones,1,99.99,01/08/23 16:57,"817 Park St, Seattle, WA 98101"
141252,ThinkPad Laptop,1,999.99,01/19/23 15:46,"725 Hill St, San Francisco, CA 94016"
141253,USB-C Charging Cable,1,11.95,01/26/23 23:18,"866 5th St, San Francisco, CA 94016"
141254,AAA Batteries (4-pack),1,2.99,01/07/23 22:44,"416 Cherry St, Seattle, WA 98101"
141255,USB-C Charging Cable,1,11.95,01/22/23 16:12,"384 8th St, Los Angeles, CA 90001"
141256,34in Ultrawide Monitor,1,379.99,01/05/23 12:59,"402 West St, Los Angeles, CA 90001"
141257,Bose SoundSport Headphones,1,99.99,01/31/23 10:43,"229 Adams St, New York City, NY 10001"
141258,AA Batteries (4-pack),1,3.84,01/19/23 07:55,"593 Lake St, Boston, MA 02215"
141259,Samsung Phone,1,500.0,01/30/23 11:56,"732 Main St, San Francisco, CA 94016"
141260,USB-C Charging Cable,1,11.95,01/23/23 13:46,"701 South St, Boston, MA 02215"
141261,Lightning Charging Cable,1,14.95,01/01/23 20:33,"420 Hickory St, Atlanta, GA 30301"
141262,20in Monitor,1,109.99,01/28/23 14:01,"229 Pine St, New York City, NY 10001"
141263,iPhone,1,700.0,01/31/23 21:23,"302 Pine St, Los Angeles, CA 90001"
141264,Lightning Charging Cable,1,14.95,01/05/23 20:17,"143 4th St, San Francisco, CA 94016"
141265,USB-C Charging Cable,1,11.95,01/17/23 10:19,"606 Jefferson St, San Francisco, CA 94016"
