Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
214159,Wired Headphones,2,11.99,07/01/23 22:13,"3 6th St, Atlanta, GA 30301"
214160,AA Batteries (4-pack),1,3.84,07/01/23 09:54,"245 Cedar St, Portland, OR 97035"
214161,Flatscreen TV,1,300.0,07/17/23 13:00,"492 Lincoln St, San Francisco, CA 94016"
214162,Lightning Charging Cable,1,14.95,07/30/23 10:55,"933 Elm St, San Francisco, CA 94016"
214163,AA Batteries (4-pack),1,3.84,07/16/23 11:33,"879 Lincoln St, Atlanta, GA 30301"
214164,Wired Headphones,1,11.99,07/10/23 12:56,"830 Adams St, Seattle, WA 98101"
214165,ThinkPad Laptop,1,999.99,07/21/23 23:43,"684 11th St, New York City, NY 10001"
214166,AAA Batteries (4-pack),2,2.99,07/27/23 17:38,"893 Hill St, San Francisco, CA 94016"
214167,Flatscreen TV,1,300.0,07/30/23 08:20,"297 Washington St, Portland, OR 97035"
214168,Bose SoundSport Headphones,1,99.99,07/04/23 14:52,"256 7th St, San Francisco, CA 94016"
214168,AAA Batteries (4-pack),2,2.99,07/04/23 14:52,"256 7th St, San Francisco, CA 94016"
214169,27in FHD Monitor,1,149.99,07/25/23 15:29,"368 Church St, Los Angeles, CA 90001"
214170,Bose SoundSport Headphones,1,99.99,07/03/23 18:29,"116 Maple St, Atlanta, GA 30301"
214171,Flatscreen TV,1,300.0,07/20/23 08:19,"768 Johnson St, Seattle, WA 98101"
214172,Nokia Phone,1,650.0,07/12/23 14:00,"786 Johnson St, Austin, TX 73301"
214173,AAA Batteries (4-pack),1,2.99,07/11/23 01:46,"926 Forest St, Seattle, WA 98101"
214174,Bose SoundSport Headphones,1,99.99,07/14/23 17:58,"775 Jackson St, Los Angeles, CA 90001"
214175,Wired Headphones,2,11.99,07/04/23 18:29,"330 Chestnut St, Atlanta, GA 30301"
214176,27in FHD Monitor,1,149.99,07/09/23 12:02,"124 Johnson St, Los Angeles, CA 90001"
214177,iPhone,1,700.0,07/13/23 15:12,"890 2nd St, San Francisco, CA 94016"
214178,USB-C Charging Cable,1,11.95,07/19/23 14:06,"368 Walnut St, Los Angeles, CA 90001"
214179,AAA Batteries (4-pack),1,2.99,07/10/23 06:43,"623 9th St, San Francisco, CA 94016"
214180,AAA Batteries (4-pack),2,2.99,07/13/23 10:13,"874 Main St, Los Angeles, CA 90001"
214181,Samsung Phone,1,500.0,07/17/23 10:50,"718 Dogwood St, New York City, NY 10001"
214182,AA Batteries (4-pack),2,3.84,07/02/23 21:18,"470 Wilson St, Atlanta, GA 30301"
,,,,,
214183,AA Batteries (4-pack),1,3.84,07/15/23 12:27,"160 West St, San Francisco, CA 94016"
214184,Wired Headphones,1,11.99,07/30/23 13:46,"387 8th St, San Francisco, CA 94016"
214185,Wired Headphones,1,11.99,07/15/23 11:21,"304 Meadow St, Dallas, IL 75001"
214186,AAA Batteries (4-pack),1,2.99,07/25/23 16:11,"493 Center St, Seattle, WA 98101"
214187,Apple Airpods Headphones,1,150,07/08/23 22:19,"419 Cherry St, New York City, NY 10001"
214188,AA Batteries (4-pack),1,3.84,07/25/23 16:37,"521 Jackson St, Los Angeles, CA 90001"
214189,Nokia Phone,1,650,07/24/23 13:58,"494 Hickory St, Los Angeles, CA 90001"
