Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
200747,USB-C Charging Cable,1,11.95,06/22/23 10:56,"631 9th St, San Francisco, CA 94016"
200748,USB-C Charging Cable,1,11.95,06/03/23 07:32,"470 Lincoln St, Boston, MA 02215"
200749,Apple Airpods Headphones,1,150.0,06/20/23 04:59,"77 9th St, Austin, TX 73301"
200750,27in FHD Monitor,1,149.99,06/26/23 09:37,"97 4th St, Boston, MA 02215"
200751,27in FHD Monitor,1,149.99,06/07/23 22:01,"339 Chestnut St, San Francisco, CA 94016"
200752,Lightning Charging Cable,1,14.95,06/28/23 11:46,"821 Willow St, San Francisco, CA 94016"
200753,Lightning Charging Cable,1,14.95,06/23/23 11:21,"667 4th St, Seattle, WA 98101"
200754,Wired Headphones,1,11.99,06/04/23 13:40,"774 Madison St, Los Angeles, CA 90001"
200755,Wired Headphones,1,11.99,06/19/23 07:47,"695 Highland St, Boston, MA 02215"
200756,Lightning Charging Cable,1,14.95,06/14/23 06:41,"235 6th St, Los Angeles, CA 90001"
200757,Samsung Phone,1,500.0,06/18/23 09:33,"243 Forest St, New York City, NY 10001"
200758,iPhone,1,700.0,06/30/23 11:26,"483 River St, New York City, NY 10001"
200758,Lightning Charging Cable,1,14.95,06/30/23 11:26,"483 River St, New York City, NY 10001"
200759,Wired Headphones,1,11.99,06/11/23 13:12,"145 11th St, Los Angeles, CA 90001"
200760,AAA Batteries (4-pack),2,2.99,06/19/23 12:11,"237 11th St, Atlanta, GA 30301"
200761,USB-C Charging Cable,1,11.95,06/21/23 14:27,"20 Hill St, Boston, MA 02215"
200762,USB-C Charging Cable,1,11.95,06/29/23 14:26,"679 2nd St, San Francisco, CA 94016"
200763,Lightning Charging Cable,1,14.95,06/12/23 14:57,"577 Maple St, New York City, NY 10001"
200764,AAA Batteries (4-pack),2,2.99,06/20/23 18:14,"581 Chestnut St, Los Angeles, CA 90001"
200765,AA Batteries (4-pack),1,3.84,06/18/23 12:41,"756 Johnson St, Los Angeles, CA 90001"
200766,Wired Headphones,1,11.99,06/28/23 11:41,"524 Jackson St, Atlanta, GA 30301"
200767,27in 4K Gaming Monitor,1,389.99,06/17/23 16:33,"720 North St, Dallas, IL 75001"
200768,AA Batteries (4-pack),2,3.84,06/19/23 23:28,"174 6th St, San Francisco, CA 94016"
200769,AAA Batteries (4-pack),1,2.99,06/29/23 21:45,"807 Spruce St, Atlanta, GA 30301"
200770,Apple Airpods Headphones,1,150.0,06/06/23 21:51,"124 Dogwood St, Austin, TX 73301"
200771,USB-C Charging Cable,1,11.95,06/14/23 16:19,"445 Chestnut St, San Francisco, CA 94016"
200772,ThinkPad Laptop,1,999.99,06/09/23 17:20,"384 14th St, San Francisco, CA 94016"
200773,LG Dryer,1,600.0,06/12/23 19:27,"550 River St, Boston, MA 02215"
200774,Vareebadd Phone,1,400.0,06/03/23 15:26,"722 12th St, San Francisco, CA 94016"
200774,USB-C Charging Cable,1,11.95,06/03/23 15:26,"722 12th St, San Francisco, CA 94016"
200775,USB-C Charging Cable,2,11.95,06/05/23 15:38,"99 Sunset St, San Francisco, CA 94016"
200776,Wired Headphones,1,11.99,06/19/23 12:17,"378 South St, Dallas, IL 75001"
200777,USB-C Charging Cable,1,11.95,06/17/23 23:10,"645 Washington St, Boston, MA 02215"
200778,Nokia Phone,1,650.0,06/28/23 21:14,"908 14th St, Atlanta, GA 30301"
200779,AAA Batteries (4-pack),1,2.99,06/14/23 00:34,"508 Meadow St, San Francisco, CA 94016"
200780,Apple Airpods Headphones,1,150.0,06/04/23 16:13,"600 Willow St, Atlanta, GA 30301"
200781,Lightning Charging Cable,1,14.95,06/02/23 10:00,"908 Wilson St, New York City, NY 10001"
200782,AA Batteries (4-pack),1,3.84,07/01/23 01:11,"767 North St, Boston, MA 02215"
200783,AAA Batteries (4-pack),1,2.99,06/25/23 09:22,"595 Jefferson St, Los Angeles, CA 90001"
200784,AA Batteries (4-pack),1,3.84,06/24/23 14:43,"359 Spruce St, San Francisco, CA 94016"
200785,AA Batteries (4-pack),1,3.84,06/29/23 10:50,"555 Forest St, San Francisco, CA 94016"
200786,AAA Batteries (4-pack),2,2.99,06/16/23 17:24,"993 8th St, San Francisco, CA 94016"
200787,ThinkPad Laptop,1,999.99,06/15/23 19:31,"255 North St, Seattle, WA 98101"
200788,27in FHD Monitor,1,149.99,06/11/23 15:42,"178 5th St, Atlanta, GA 30301"
200789,AAA Batteries (4-pack),1,2.99,06/04/23 11:37,"88 Johnson St, New York City, NY 10001"
200790,Apple Airpods Headphones,1,150.0,06/11/23 21:17,"852 Park St, Portland, OR 97035"
200791,Bose SoundSport Headphones,1,99.99,06/02/23 21:36,"136 14th St, Boston, MA 02215"
200792,Lightning Charging Cable,1,14.95,06/03/23 22:04,"955 Hickory St, New York City, NY 10001"
200793,AAA Batteries (4-pack),2,2.99,06/05/23 11:28,"543 River St, Boston, MA 02215"
