Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
166916,USB-C Charging Cable,1,11.95,03/10/23 20:56,"421 11th St, Boston, MA 02215"
166917,20in Monitor,1,109.99,03/14/23 13:12,"930 11th St, Boston, MA 02215"
166918,Apple Airpods Headphones,1,150.0,03/31/23 04:09,"160 Main St, San Francisco, CA 94016"
166919,Wired Headphones,1,11.99,03/19/23 22:15,"800 13th St, New York City, NY 10001"
166920,Bose SoundSport Headphones,1,99.99,03/11/23 10:31,"48 Elm St, Boston, MA 02215"
166921,27in FHD Monitor,1,149.99,03/21/23 19:45,"728 Hill St, San Francisco, CA 94016"
166922,AAA Batteries (4-pack),2,2.99,03/02/23 12:31,"415 Hickory St, San Francisco, CA 94016"
166923,AAA Batteries (4-pack),1,2.99,03/15/23 17:37,"447 Church St, Boston, MA 02215"
166924,Bose SoundSport Headphones,1,99.99,03/04/23 12:06,"460 Pine St, Los Angeles, CA 90001"
166925,AAA Batteries (4-pack),2,2.99,03/08/23 18:02,"6 Maple St, Atlanta, GA 30301"
166926,Apple Airpods Headphones,1,150.0,03/13/23 23:02,"691 West St, New York City, NY 10001"
166927,Samsung Phone,1,500.0,03/20/23 14:55,"705 Sunset St, Atlanta, GA 30301"
166928,Bose SoundSport Headphones,1,99.99,03/10/23 16:53,"555 Park St, Los Angeles, CA 90001"
166929,AA Batteries (4-pack),1,3.84,03/25/23 18:15,"117 Pine St, New York City, NY 10001"
166930,Wired Headphones,3,11.99,03/29/23 20:12,"14 Church St, Los Angeles, CA 90001"
166931,Bose SoundSport Headphones,1,99.99,03/02/23 11:18,"347 Cedar St, Los Angeles, CA 90001"
166932,USB-C Charging Cable,1,11.95,03/25/23 19:34,"810 Maple St, New York City, NY 10001"
166933,iPhone,1,700.0,03/28/23 16:55,"317 Pine St, Seattle, WA 98101"
166933,Lightning Charging Cable,1,14.95,03/28/23 16:55,"317 Pine St, Seattle, WA 98101"
