Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
187065,34in Ultrawide Monitor,1,379.99,05/22/23 15:31,"632 Hill St, Dallas, IL 75001"
187066,Nokia Phone,1,650.0,05/20/23 12:33,"984 Sunset St, New York City, NY 10001"
187067,Nokia Phone,1,650.0,05/01/23 22:41,"156 Maple St, Austin, TX 73301"
187068,iPhone,1,700.0,05/25/23 17:20,"894 Cherry St, San Francisco, CA 94016"
187068,Apple Airpods Headphones,1,150.0,05/25/23 17:20,"894 Cherry St, San Francisco, CA 94016"
187069,Lightning Charging Cable,1,14.95,05/08/23 12:15,"336 9th St, Boston, MA 02215"
187070,Lightning Charging Cable,1,14.95,05/22/23 08:25,"657 1st St, Boston, MA 02215"
187071,Wired Headphones,1,11.99,05/21/23 19:49,"836 8th St, Los Angeles, CA 90001"
187072,LG Dryer,1,600.0,05/15/23 14:17,"810 South St, Austin, TX 73301"
187073,USB-C Charging Cable,1,11.95,05/18/23 01:28,"225 Hill St, New York City, NY 10001"
187074,Wired Headphones,1,11.99,05/15/23 17:31,"585 13th St, San Francisco, CA 94016"
187075,AA Batteries (4-pack),1,3.84,05/29/23 23:15,"246 Hickory St, New York City, NY 10001"
187076,Apple Airpods Headphones,1,150.0,05/09/23 11:03,"35 Ridge St, San Francisco, CA 94016"
187077,Lightning Charging Cable,1,14.95,05/23/23 13:33,"232 Madison St, Dallas, IL 75001"
187078,Wired Headphones,1,11.99,05/19/23 12:48,"415 14th St, Los Angeles, CA 90001"
187079,Apple Airpods Headphones,1,150.0,05/05/23 14:21,"791 Chestnut St, San Francisco, CA 94016"
187080,20in Monitor,1,109.99,05/05/23 04:33,"514 Chestnut St, San Francisco, CA 94016"
187081,ThinkPad Laptop,1,999.99,05/14/23 15:43,"645 Forest St, Boston, MA 02215"
187082,AA Batteries (4-pack),1,3.84,05/17/23 18:30,"574 Center St, Austin, TX 73301"
187083,20in Monitor,1,109.99,05/15/23 14:03,"301 10th St, Portland, OR 97035"
187084,34in Ultrawide Monitor,1,379.99,05/20/23 12:41,"229 Willow St, Dallas, IL 75001"
187085,USB-C Charging Cable,1,11.95,05/06/23 11:57,"639 10th St, New York City, NY 10001"
187086,Bose SoundSport Headphones,1,99.99,05/10/23 16:54,"92 Johnson St, Portland, OR 97035"
187087,Nokia Phone,1,650.0,05/21/23 13:53,"334 South St, Portland, ME 04101"
187088,Macbook Pro Laptop,1,1700.0,05/14/23 14:13,"166 North St, Dallas, IL 75001"
187089,Lightning Charging Cable,1,14.95,05/10/23 22:29,"504 12th St, San Francisco, CA 94016"
187090,Lightning Charging Cable,1,14.95,05/02/23 16:18,"327 10th St, Dallas, IL 75001"
187091,USB-C Charging Cable,1,11.95,05/09/23 16:58,"942 6th St, San Francisco, CA 94016"
187092,Nokia Phone,1,650.0,05/04/23 22:17,"955 4th St, San Francisco, CA 94016"
187093,Lightning Charging Cable,2,14.95,05/09/23 15:25,"724 10th St, Los Angeles, CA 90001"
187094,Vareebadd Phone,1,400.0,05/26/23 16:10,"931 Dogwood St, San Francisco, CA 94016"
187095,Wired Headphones,1,11.99,05/17/23 19:19,"796 10th St, Boston, MA 02215"
187096,USB-C Charging Cable,1,11.95,05/02/23 21:37,"733 Spruce St, Austin, TX 73301"
187097,LG Washing Machine,1,600.0,05/16/23 22:59,"399 Washington St, San Francisco, CA 94016"
187098,34in Ultrawide Monitor,1,379.99,05/31/23 08:54,"501 Hill St, Los Angeles, CA 90001"
187098,27in 4K Gaming Monitor,1,389.99,05/31/23 08:54,"501 Hill St, Los Angeles, CA 90001"
187099,USB-C Charging Cable,1,11.95,05/14/23 19:32,"284 5th St, Los Angeles, CA 90001"
187100,USB-C Charging Cable,1,11.95,05/08/23 18:37,"32 1st St, Dallas, IL 75001"
187101,USB-C Charging Cable,1,11.95,05/01/23 23:14,"340 5th St, Boston, MA 02215"
187102,AAA Batteries (4-pack),1,2.99,05/13/23 17:12,"646 1st St, Seattle, WA 98101"
187103,34in Ultrawide Monitor,1,379.99,05/06/23 23:34,"761 Forest St, San Francisco, CA 94016"
187104,iPhone,1,700.0,05/17/23 20:54,"621 Dogwood St, San Francisco, CA 94016"
187105,27in FHD Monitor,2,149.99,05/07/23 23:16,"619 12th St, Atlanta, GA 30301"
187106,AA Batteries (4-pack),1,3.84,05/21/23 03:37,"191 Center St, San Francisco, CA 94016"
187107,AA Batteries (4-pack),2,3.84,05/30/23 12:00,"549 Elm St, Atlanta, GA 30301"
187108,Apple Airpods Headphones,1,150.0,05/24/23 16:41,"583 Forest St, Atlanta, GA 30301"
187109,Wired Headphones,1,11.99,05/09/23 18:55,"842 Lake St, New York City, NY 10001"
187110,iPhone,1,700.0,05/15/23 11:21,"922 Church St, Los Angeles, CA 90001"
187111,27in 4K Gaming Monitor,1,389.99,05/20/23 07:07,"48 West St, Dallas, IL 75001"
187112,Wired Headphones,1,11.99,05/12/23 05:14,"736 Wilson St, Los Angeles, CA 90001"
187113,iPhone,1,700.0,05/24/23 11:01,"209 Willow St, Atlanta, GA 30301"
187114,USB-C Charging Cable,1,11.95,05/03/23 10:36,"928 7th St, Boston, MA 02215"
187115,Lightning Charging Cable,1,14.95,05/20/23 15:01,"324 Maple St, Los Angeles, CA 90001"
187116,34in Ultrawide Monitor,1,379.99,05/06/23 20:24,"502 Meadow St, Boston, MA 02215"
187117,AAA Batteries (4-pack),3,2.99,05/13/23 11:37,"676 South St, San Francisco, CA 94016"
187118,Apple Airpods Headphones,1,150.0,05/01/23 22:04,"332 Lincoln St, San Francisco, CA 94016"
187119,USB-C Charging Cable,1,11.95,05/31/23 21:10,"51 8th St, Dallas, IL 75001"
187120,Nokia Phone,1,650.0,05/11/23 11:37,"394 Highland St, Portland, OR 97035"
187121,Wired Headphones,1,11.99,05/01/23 22:08,"953 Willow St, Portland, OR 97035"
187122,Lightning Charging Cable,1,14.95,05/14/23 22:38,"213 Highland St, Dallas, IL 75001"
187123,AAA Batteries (4-pack),1,2.99,05/02/23 15:28,"888 River St, San Francisco, CA 94016"
187124,27in FHD Monitor,1,149.99,05/05/23 15:48,"224 Lincoln St, Portland, OR 97035"
187125,Wired Headphones,1,11.99,05/13/23 10:49,"375 4th St, Dallas, IL 75001"
187126,Lightning Charging Cable,2,14.95,05/18/23 20:50,"950 Lakeview St, Portland, OR 97035"
187127,Lightning Charging Cable,1,14.95,05/10/23 13:58,"796 River St, Atlanta, GA 30301"
187128,Apple Airpods Headphones,1,150.0,05/13/23 16:48,"314 6th St, New York City, NY 10001"
187129,Wired Headphones,1,11.99,05/23/23 12:31,"384 Spruce St, Boston, MA 02215"
187130,Wired Headphones,1,11.99,05/10/23 14:04,"459 2nd St, New York City, NY 10001"
187131,27in 4K Gaming Monitor,1,389.99,05/01/23 15:36,"864 14th St, Los Angeles, CA 90001"
187132,Macbook Pro Laptop,1,1700.0,05/27/23 15:22,"766 8th St, Los Angeles, CA 90001"
187133,Lightning Charging Cable,1,14.95,05/14/23 20:08,"622 Spruce St, Portland, OR 97035"
187134,Lightning Charging Cable,1,14.95,05/03/23 15:34,"460 Maple St, Boston, MA 02215"
187135,AA Batteries (4-pack),3,3.84,05/10/23 12:40,"917 Lincoln St, New York City, NY 10001"
187136,Samsung Phone,1,500.0,05/22/23 10:23,"417 Elm St, New York City, NY 10001"
187137,Lightning Charging Cable,1,14.95,05/07/23 13:45,"816 Hickory St, Boston, MA 02215"
187138,iPhone,1,700.0,05/25/23 15:02,"46 Elm St, New York City, NY 10001"
187139,USB-C Charging Cable,1,11.95,05/05/23 22:52,"526 9th St, Austin, TX 73301"
187140,Samsung Phone,1,500.0,05/24/23 07:57,"274 Jackson St, New York City, NY 10001"
187141,AAA Batteries (4-pack),2,2.99,05/07/23 21:27,"898 Willow St, Dallas, IL 75001"
187142,AAA Batteries (4-pack),1,2.99,05/24/23 12:36,"278 Lakeview St, New York City, NY 10001"
187143,AAA Batteries (4-pack),1,2.99,05/11/23 09:30,"364 Jackson St, San Francisco, CA 94016"
187144,Bose SoundSport Headphones,1,99.99,05/14/23 21:43,"743 River St, Atlanta, GA 30301"
,,,,,
187145,34in Ultrawide Monitor,1,379.99,05/27/23 10:12,"461 Main St, Seattle, WA 98101"
187146,Wired Headphones,1,11.99,05/09/23 13:00,"936 Cherry St, Atlanta, GA 30301"
187147,USB-C Charging Cable,1,11.95,05/03/23 21:08,"443 South St, Atlanta, GA 30301"
187148,ThinkPad Laptop,1,999.99,05/19/23 17:02,"618 Park St, Dallas, IL 75001"
187149,USB-C Charging Cable,1,11.95,05/16/23 20:25,"626 Wilson St, Atlanta, GA 30301"
187150,AAA Batteries (4-pack),1,2.99,05/25/23 13:22,"687 Dogwood St, Atlanta, GA 30301"
187151,Apple Airpods Headphones,1,150,05/30/23 07:37,"426 Hill St, Boston, MA 02215"
187152,Lightning Charging Cable,1,14.95,05/17/23 20:02,"776 Forest St, New York City, NY 10001"
187153,AA Batteries (4-pack),1,3.84,05/27/23 22:40,"610 12th St, Boston, MA 02215"
187154,Wired Headphones,1,11.99,05/14/23 08:54,"856 Dogwood St, Boston, MA 02215"
187155,Wired Headphones,1,11.99,05/19/23 16:28,"523 9th St, San Francisco, CA 94016"
187156,Wired Headphones,1,11.99,05/20/23 11:47,"191 Johnson St, San Francisco, CA 94016"
187157,Nokia Phone,1,650,05/10/23 15:31,"267 6th St, Portland, ME 04101"
187158,27in FHD Monitor,1,149.99,05/12/23 21:05,"789 8th St, Atlanta, GA 30301"
187159,AAA Batteries (4-pack),1,2.99,05/17/23 20:36,"173 5th St, Portland, OR 97035"
187160,AAA Batteries (4-pack),1,2.99,05/02/23 18:08,"475 Chestnut St, Los Angeles, CA 90001"
187161,Macbook Pro Laptop,1,1700,05/18/23 23:53,"800 Pine St, New York City, NY 10001"
187162,AAA Batteries (4-pack),1,2.99,05/23/23 20:18,"364 Sunset St, Atlanta, GA 30301"
187163,Bose SoundSport Headphones,1,99.99,05/02/23 13:44,"414 Lakeview St, New York City, NY 10001"
187164,20in Monitor,1,109.99,05/29/23 22:48,"445 Center St, New York City, NY 10001"
187165,iPhone,1,700,05/29/23 19:49,"966 Church St, Boston, MA 02215"
