Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
263818,USB-C Charging Cable,1,11.95,11/20/23 17:22,"812 12th St, Los Angeles, CA 90001"
263819,USB-C Charging Cable,1,11.95,11/25/23 21:28,"252 Lakeview St, Boston, MA 02215"
263820,USB-C Charging Cable,1,11.95,11/06/23 23:53,"149 Maple St, Dallas, IL 75001"
263821,Lightning Charging Cable,1,14.95,11/09/23 15:24,"234 Forest St, Dallas, IL 75001"
263822,Wired Headphones,1,11.99,11/21/23 00:56,"55 Lake St, Boston, MA 02215"
263823,AA Batteries (4-pack),2,3.84,11/09/23 14:28,"103 Johnson St, San Francisco, CA 94016"
263824,Apple Airpods Headphones,1,150.0,11/28/23 11:09,"711 Sunset St, New York City, NY 10001"
263825,AA Batteries (4-pack),3,3.84,11/10/23 14:24,"213 Ridge St, Boston, MA 02215"
263826,Wired Headphones,1,11.99,11/15/23 21:03,"787 Madison St, Los Angeles, CA 90001"
263827,34in Ultrawide Monitor,1,379.99,11/05/23 23:52,"942 2nd St, Seattle, WA 98101"
263828,Wired Headphones,1,11.99,11/21/23 20:22,"928 Jefferson St, Seattle, WA 98101"
263829,Wired Headphones,1,11.99,11/15/23 22:07,"181 Main St, New York City, NY 10001"
263830,Wired Headphones,1,11.99,11/01/23 23:45,"366 10th St, Seattle, WA 98101"
263831,Vareebadd Phone,1,400.0,11/14/23 01:56,"962 Willow St, San Francisco, CA 94016"
263831,USB-C Charging Cable,1,11.95,11/14/23 01:56,"962 Willow St, San Francisco, CA 94016"
263832,AA Batteries (4-pack),2,3.84,11/27/23 14:52,"620 Walnut St, Seattle, WA 98101"
263833,AAA Batteries (4-pack),2,2.99,11/22/23 12:36,"560 10th St, Dallas, IL 75001"
263834,20in Monitor,1,109.99,11/16/23 09:17,"362 1st St, Los Angeles, CA 90001"
263835,LG Dryer,1,600.0,11/16/23 22:11,"657 Church St, Dallas, IL 75001"
263836,20in Monitor,1,109.99,11/21/23 14:28,"733 1st St, San Francisco, CA 94016"
