Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
247048,AA Batteries (4-pack),1,3.84,10/22/23 17:03,"971 Pine St, Atlanta, GA 30301"
247049,ThinkPad Laptop,1,999.99,10/23/23 12:11,"671 6th St, Boston, MA 02215"
247050,Flatscreen TV,1,300.0,10/11/23 02:08,"868 Sunset St, San Francisco, CA 94016"
247051,iPhone,1,700.0,10/22/23 13:38,"990 Wilson St, Los Angeles, CA 90001"
247052,Nokia Phone,1,650.0,10/22/23 14:32,"995 Hickory St, Seattle, WA 98101"
247053,USB-C Charging Cable,1,11.95,10/13/23 23:26,"710 Main St, Atlanta, GA 30301"
247054,USB-C Charging Cable,1,11.95,10/04/23 12:59,"525 5th St, Boston, MA 02215"
247054,Apple Airpods Headphones,1,150.0,10/04/23 12:59,"525 5th St, Boston, MA 02215"
247055,iPhone,1,700.0,10/31/23 11:12,"987 Madison St, New York City, NY 10001"
247056,ThinkPad Laptop,1,999.99,10/03/23 14:52,"352 Spruce St, New York City, NY 10001"
247057,27in 4K Gaming Monitor,1,389.99,10/16/23 10:56,"621 Park St, San Francisco, CA 94016"
247058,Wired Headphones,1,11.99,10/30/23 21:28,"218 Sunset St, San Francisco, CA 94016"
247059,USB-C Charging Cable,1,11.95,10/20/23 13:45,"395 5th St, Los Angeles, CA 90001"
247060,Wired Headphones,1,11.99,10/24/23 17:26,"691 Jefferson St, Seattle, WA 98101"
247061,Apple Airpods Headphones,1,150.0,10/23/23 11:52,"599 Adams St, Boston, MA 02215"
247062,USB-C Charging Cable,1,11.95,10/26/23 08:43,"959 5th St, Atlanta, GA 30301"
247063,iPhone,1,700.0,10/14/23 17:38,"159 Adams St, Atlanta, GA 30301"
247064,AA Batteries (4-pack),1,3.84,10/19/23 19:35,"244 Cherry St, Boston, MA 02215"
247065,Lightning Charging Cable,1,14.95,10/31/23 19:02,"153 9th St, New York City, NY 10001"
247066,Bose SoundSport Headphones,1,99.99,10/05/23 15:08,"137 Highland St, Atlanta, GA 30301"
247067,20in Monitor,1,109.99,10/05/23 22:24,"392 Church St, Dallas, IL 75001"
247068,ThinkPad Laptop,1,999.99,10/13/23 23:02,"842 Ridge St, Boston, MA 02215"
247069,Wired Headphones,1,11.99,10/25/23 22:32,"926 Willow St, New York City, NY 10001"
247070,Macbook Pro Laptop,1,1700.0,10/26/23 09:34,"109 1st St, New York City, NY 10001"
247071,Bose SoundSport Headphones,1,99.99,10/06/23 19:28,"501 12th St, Portland, OR 97035"
247072,27in 4K Gaming Monitor,1,389.99,10/06/23 17:50,"17 1st St, New York City, NY 10001"
247073,AAA Batteries (4-pack),1,2.99,10/19/23 09:50,"76 Jefferson St, New York City, NY 10001"
247074,Bose SoundSport Headphones,1,99.99,10/16/23 23:03,"671 6th St, San Francisco, CA 94016"
247075,27in 4K Gaming Monitor,1,389.99,10/02/23 21:40,"592 5th St, Los Angeles, CA 90001"
247076,AA Batteries (4-pack),1,3.84,10/23/23 21:54,"813 Forest St, Boston, MA 02215"
247077,Samsung Phone,1,500.0,10/31/23 06:37,"585 Lake St, San Francisco, CA 94016"
247078,USB-C Charging Cable,1,11.95,10/03/23 04:31,"576 Cedar St, Los Angeles, CA 90001"
247079,Wired Headphones,1,11.99,10/11/23 13:01,"903 Lake St, San Francisco, CA 94016"
247080,Flatscreen TV,1,300.0,10/29/23 13:57,"740 Lake St, San Francisco, CA 94016"
247081,Flatscreen TV,1,300.0,10/27/23 20:54,"626 South St, New York City, NY 10001"
247082,Samsung Phone,1,500.0,10/12/23 19:49,"751 8th St, Atlanta, GA 30301"
247082,Wired Headphones,1,11.99,10/12/23 19:49,"751 8th St, Atlanta, GA 30301"
247083,AAA Batteries (4-pack),1,2.99,10/28/23 19:57,"742 South St, Dallas, IL 75001"
247084,27in 4K Gaming Monitor,1,389.99,10/01/23 09:20,"809 Johnson St, Portland, ME 04101"
247085,USB-C Charging Cable,1,11.95,10/10/23 00:06,"829 Cherry St, Los Angeles, CA 90001"
247086,Lightning Charging Cable,1,14.95,10/08/23 16:13,"14 14th St, San Francisco, CA 94016"
247087,Wired Headphones,1,11.99,10/28/23 16:01,"16 Lincoln St, Dallas, IL 75001"
247088,Samsung Phone,1,500.0,10/14/23 10:39,"799 Elm St, San Francisco, CA 94016"
247089,USB-C Charging Cable,1,11.95,10/17/23 17:05,"431 Lincoln St, Portland, OR 97035"
247090,USB-C Charging Cable,1,11.95,10/04/23 15:41,"415 Dogwood St, Seattle, WA 98101"
247091,Lightning Charging Cable,1,14.95,10/19/23 17:24,"43 Sunset St, Seattle, WA 98101"
247092,Bose SoundSport Headphones,1,99.99,10/28/23 21:47,"164 Main St, Dallas, IL 75001"
247093,AA Batteries (4-pack),1,3.84,10/05/23 16:00,"517 Jackson St, Los Angeles, CA 90001"
247094,Bose SoundSport Headphones,1,99.99,10/25/23 08:29,"278 North St, Dallas, IL 75001"
247095,USB-C Charging Cable,1,11.95,10/06/23 18:02,"38 14th St, Austin, TX 73301"
247096,ThinkPad Laptop,1,999.99,10/15/23 10:21,"345 Ridge St, Boston, MA 02215"
247097,Flatscreen TV,1,300.0,10/08/23 11:45,"689 Adams St, Dallas, IL 75001"
247098,USB-C Charging Cable,1,11.95,10/23/23 11:32,"390 Lakeview St, Seattle, WA 98101"
247099,Samsung Phone,1,500.0,10/14/23 19:08,"857 Adams St, Los Angeles, CA 90001"
247100,Bose SoundSport Headphones,1,99.99,10/06/23 14:43,"3 Dogwood St, Portland, ME 04101"
247101,Lightning Charging Cable,1,14.95,10/26/23 14:00,"976 Adams St, Austin, TX 73301"
247102,iPhone,1,700.0,10/17/23 22:46,"373 5th St, Boston, MA 02215"
247103,AA Batteries (4-pack),1,3.84,10/30/23 19:07,"207 Wilson St, Portland, OR 97035"
247104,USB-C Charging Cable,1,11.95,10/17/23 18:55,"733 2nd St, Atlanta, GA 30301"
247105,Wired Headphones,1,11.99,10/28/23 13:28,"478 Park St, Atlanta, GA 30301"
247106,AA Batteries (4-pack),1,3.84,10/28/23 09:52,"24 2nd St, San Francisco, CA 94016"
247107,Bose SoundSport Headphones,1,99.99,10/07/23 16:41,"368 14th St, San Francisco, CA 94016"
247107,Macbook Pro Laptop,1,1700.0,10/07/23 16:41,"368 14th St, San Francisco, CA 94016"
247108,AA Batteries (4-pack),1,3.84,10/21/23 23:08,"22 1st St, Boston, MA 02215"
247109,Lightning Charging Cable,1,14.95,10/20/23 13:34,"998 Adams St, San Francisco, CA 94016"
247110,AA Batteries (4-pack),1,3.84,10/05/23 22:20,"237 Jackson St, San Francisco, CA 94016"
247111,27in FHD Monitor,1,149.99,10/24/23 09:23,"564 5th St, Dallas, IL 75001"
247112,Wired Headphones,1,11.99,10/05/23 14:37,"873 Madison St, New York City, NY 10001"
247112,27in 4K Gaming Monitor,1,389.99,10/05/23 14:37,"873 Madison St, New York City, NY 10001"
247113,ThinkPad Laptop,1,999.99,10/19/23 13:18,"26 Spruce St, Los Angeles, CA 90001"
247114,Lightning Charging Cable,1,14.95,10/30/23 15:38,"962 7th St, San Francisco, CA 94016"
247115,AAA Batteries (4-pack),2,2.99,10/21/23 11:43,"84 Jefferson St, Los Angeles, CA 90001"
247116,AAA Batteries (4-pack),2,2.99,10/04/23 12:59,"631 Lakeview St, New York City, NY 10001"
247117,AA Batteries (4-pack),4,3.84,10/25/23 15:18,"537 Willow St, San Francisco, CA 94016"
247118,USB-C Charging Cable,1,11.95,10/16/23 16:08,"534 13th St, San Francisco, CA 94016"
247119,Macbook Pro Laptop,1,1700.0,10/30/23 19:21,"148 Ridge St, Dallas, IL 75001"
247120,AAA Batteries (4-pack),2,2.99,10/27/23 14:16,"939 Cherry St, Atlanta, GA 30301"
247120,iPhone,1,700.0,10/27/23 14:16,"939 Cherry St, Atlanta, GA 30301"
247121,USB-C Charging Cable,1,11.95,10/21/23 11:48,"555 Cherry St, Boston, MA 02215"
247122,Lightning Charging Cable,1,14.95,10/12/23 13:47,"214 North St, Dallas, IL 75001"
247123,Wired Headphones,1,11.99,10/10/23 10:46,"522 Dogwood St, Boston, MA 02215"
247124,Wired Headphones,1,11.99,10/07/23 19:26,"221 Jefferson St, Seattle, WA 98101"
247125,34in Ultrawide Monitor,1,379.99,10/12/23 12:26,"287 Wilson St, San Francisco, CA 94016"
247126,Flatscreen TV,1,300.0,10/25/23 08:41,"651 Highland St, Los Angeles, CA 90001"
247127,USB-C Charging Cable,1,11.95,10/12/23 18:01,"735 Elm St, New York City, NY 10001"
247128,34in Ultrawide Monitor,1,379.99,10/15/23 21:58,"520 Center St, Austin, TX 73301"
247129,AAA Batteries (4-pack),1,2.99,10/08/23 07:21,"125 Walnut St, San Francisco, CA 94016"
247130,Flatscreen TV,1,300.0,10/17/23 16:40,"359 7th St, Atlanta, GA 30301"
247131,Apple Airpods Headphones,1,150.0,10/25/23 11:41,"877 North St, San Francisco, CA 94016"
247132,34in Ultrawide Monitor,1,379.99,10/16/23 10:23,"652 Ridge St, San Francisco, CA 94016"
247133,iPhone,1,700.0,10/22/23 10:58,"470 2nd St, Los Angeles, CA 90001"
247134,Apple Airpods Headphones,1,150.0,10/09/23 09:14,"761 Highland St, Seattle, WA 98101"
247135,USB-C Charging Cable,2,11.95,10/16/23 10:58,"622 Center St, New York City, NY 10001"
247136,USB-C Charging Cable,1,11.95,10/13/23 02:39,"63 Forest St, Atlanta, GA 30301"
247137,Wired Headphones,1,11.99,10/26/23 22:52,"288 8th St, Dallas, IL 75001"
247138,Samsung Phone,1,500.0,10/26/23 18:17,"802 12th St, Boston, MA 02215"
247139,USB-C Charging Cable,1,11.95,10/09/23 18:39,"28 4th St, Seattle, WA 98101"
247140,AA Batteries (4-pack),1,3.84,10/10/23 14:11,"761 2nd St, San Francisco, CA 94016"
247141,LG Washing Machine,1,600.0,10/11/23 10:00,"816 Center St, San Francisco, CA 94016"
247142,Macbook Pro Laptop,1,1700.0,10/09/23 10:36,"831 Park St, Los Angeles, CA 90001"
247143,USB-C Charging Cable,1,11.95,10/18/23 17:44,"57 South St, San Francisco, CA 94016"
247144,Macbook Pro Laptop,1,1700.0,10/28/23 02:30,"469 Hickory St, Atlanta, GA 30301"
247145,AAA Batteries (4-pack),1,2.99,10/06/23 19:11,"928 Meadow St, San Francisco, CA 94016"
247146,34in Ultrawide Monitor,1,379.99,10/03/23 09:14,"507 Willow St, New York City, NY 10001"
247147,Apple Airpods Headphones,1,150.0,10/24/23 18:16,"610 Cedar St, Dallas, IL 75001"
247148,20in Monitor,1,109.99,10/29/23 12:49,"754 Jackson St, Dallas, IL 75001"
247148,27in 4K Gaming Monitor,1,389.99,10/29/23 12:49,"754 Jackson St, Dallas, IL 75001"
247149,Samsung Phone,1,500.0,10/26/23 14:46,"826 River St, Dallas, IL 75001"
247150,34in Ultrawide Monitor,1,379.99,10/10/23 00:36,"296 Church St, New York City, NY 10001"
247151,34in Ultrawide Monitor,1,379.99,10/04/23 00:00,"448 10th St, Los Angeles, CA 90001"
247152,Bose SoundSport Headphones,1,99.99,10/13/23 04:15,"653 Walnut St, Los Angeles, CA 90001"
