Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
233402,AA Batteries (4-pack),1,3.84,09/27/23 20:06,"126 11th St, Los Angeles, CA 90001"
233403,Wired Headphones,1,11.99,09/22/23 21:01,"10 Jefferson St, Portland, ME 04101"
233404,34in Ultrawide Monitor,1,379.99,09/04/23 12:49,"667 Center St, Boston, MA 02215"
233405,Apple Airpods Headphones,1,150.0,09/27/23 00:01,"88 12th St, Los Angeles, CA 90001"
233406,USB-C Charging Cable,1,11.95,09/01/23 08:43,"965 Pine St, Los Angeles, CA 90001"
233407,AA Batteries (4-pack),1,3.84,09/22/23 13:24,"572 River St, New York City, NY 10001"
233408,AA Batteries (4-pack),1,3.84,09/20/23 18:15,"95 Adams St, San Francisco, CA 94016"
233409,Nokia Phone,1,650.0,09/28/23 17:30,"157 Church St, New York City, NY 10001"
233410,27in 4K Gaming Monitor,1,389.99,09/22/23 18:26,"779 Willow St, Los Angeles, CA 90001"
233411,AA Batteries (4-pack),2,3.84,09/15/23 20:32,"692 10th St, Dallas, IL 75001"
233412,USB-C Charging Cable,1,11.95,09/08/23 17:11,"911 13th St, Portland, OR 97035"
233413,AA Batteries (4-pack),3,3.84,09/28/23 19:22,"651 Lakeview St, Boston, MA 02215"
233414,AAA Batteries (4-pack),1,2.99,09/27/23 15:03,"328 Lincoln St, Seattle, WA 98101"
233415,Wired Headphones,2,11.99,09/20/23 13:43,"853 Jefferson St, New York City, NY 10001"
233416,20in Monitor,1,109.99,09/24/23 04:24,"629 Maple St, Boston, MA 02215"
233417,Wired Headphones,2,11.99,09/02/23 10:22,"330 Willow St, Austin, TX 73301"
233418,USB-C Charging Cable,2,11.95,09/23/23 20:40,"373 Pine St, New York City, NY 10001"
233419,AA Batteries (4-pack),1,3.84,09/22/23 11:31,"163 Jefferson St, Boston, MA 02215"
233420,Wired Headphones,1,11.99,09/26/23 18:44,"542 Center St, San Francisco, CA 94016"
233421,Bose SoundSport Headphones,1,99.99,09/26/23 22:22,"996 1st St, San Francisco, CA 94016"
233422,Wired Headphones,1,11.99,09/30/23 11:18,"671 Hill St, Atlanta, GA 30301"
233423,Bose SoundSport Headphones,1,99.99,09/11/23 18:44,"403 Jefferson St, Los Angeles, CA 90001"
233424,iPhone,1,700.0,09/11/23 13:15,"67 5th St, Portland, ME 04101"
233425,AAA Batteries (4-pack),1,2.99,09/22/23 20:09,"961 Adams St, Portland, OR 97035"
233426,LG Washing Machine,1,600.0,09/14/23 15:14,"607 6th St, San Francisco, CA 94016"
233427,AAA Batteries (4-pack),1,2.99,09/02/23 22:47,"448 Pine St, Portland, ME 04101"
233428,Bose SoundSport Headphones,1,99.99,09/23/23 10:14,"865 Madison St, Dallas, IL 75001"
233429,Apple Airpods Headphones,1,150.0,09/26/23 12:21,"166 Church St, Boston, MA 02215"
233430,USB-C Charging Cable,1,11.95,09/30/23 17:29,"702 2nd St, Boston, MA 02215"
233431,34in Ultrawide Monitor,1,379.99,09/13/23 17:38,"582 Park St, Los Angeles, CA 90001"
233432,USB-C Charging Cable,1,11.95,09/24/23 10:03,"508 7th St, Atlanta, GA 30301"
233433,USB-C Charging Cable,1,11.95,09/10/23 22:05,"178 Forest St, Boston, MA 02215"
233434,USB-C Charging Cable,1,11.95,09/13/23 11:59,"509 13th St, Los Angeles, CA 90001"
233435,USB-C Charging Cable,1,11.95,09/01/23 10:38,"291 Forest St, San Francisco, CA 94016"
233436,Vareebadd Phone,1,400.0,09/16/23 15:04,"796 Center St, New York City, NY 10001"
233437,Wired Headphones,2,11.99,09/19/23 07:51,"40 Spruce St, Seattle, WA 98101"
233438,Samsung Phone,1,500.0,09/15/23 18:29,"647 12th St, San Francisco, CA 94016"
233439,Macbook Pro Laptop,1,1700.0,09/05/23 16:42,"576 13th St, New York City, NY 10001"
233440,Apple Airpods Headphones,1,150.0,09/07/23 16:27,"397 1st St, Los Angeles, CA 90001"
233441,27in FHD Monitor,1,149.99,09/08/23 18:57,"743 10th St, San Francisco, CA 94016"
233442,USB-C Charging Cable,2,11.95,09/04/23 12:10,"360 5th St, Dallas, IL 75001"
233443,AA Batteries (4-pack),1,3.84,09/23/23 14:53,"553 Jackson St, Portland, OR 97035"
233444,27in 4K Gaming Monitor,1,389.99,09/22/23 19:04,"438 Dogwood St, Portland, OR 97035"
233445,USB-C Charging Cable,1,11.95,09/16/23 22:29,"833 Lakeview St, San Francisco, CA 94016"
233445,Apple Airpods Headphones,1,150.0,09/16/23 22:29,"833 Lakeview St, San Francisco, CA 94016"
233446,Macbook Pro Laptop,1,1700.0,09/19/23 15:37,"67 Maple St, San Francisco, CA 94016"
233447,Bose SoundSport Headphones,2,99.99,09/17/23 22:02,"574 Park St, New York City, NY 10001"
233448,Apple Airpods Headphones,1,150.0,09/30/23 23:13,"664 Hickory St, Boston, MA 02215"
233449,AA Batteries (4-pack),1,3.84,09/28/23 16:24,"552 Spruce St, New York City, NY 10001"
233450,Apple Airpods Headphones,1,150.0,09/22/23 10:41,"948 Dogwood St, Portland, ME 04101"
233451,ThinkPad Laptop,1,999.99,09/26/23 19:13,"334 Cherry St, New York City, NY 10001"
233452,27in 4K Gaming Monitor,1,389.99,09/10/23 16:29,"516 Ridge St, Dallas, IL 75001"
233453,Wired Headphones,1,11.99,09/29/23 09:31,"249 Wilson St, Los Angeles, CA 90001"
233454,27in 4K Gaming Monitor,1,389.99,09/21/23 22:59,"759 North St, Seattle, WA 98101"
233455,AAA Batteries (4-pack),2,2.99,09/14/23 09:43,"133 Dogwood St, Los Angeles, CA 90001"
233456,Wired Headphones,1,11.99,09/19/23 11:21,"705 Cherry St, New York City, NY 10001"
233457,USB-C Charging Cable,1,11.95,09/15/23 18:42,"257 1st St, New York City, NY 10001"
233458,Lightning Charging Cable,1,14.95,09/08/23 16:05,"899 Church St, Portland, OR 97035"
233459,AAA Batteries (4-pack),3,2.99,09/17/23 20:52,"886 Washington St, Boston, MA 02215"
233460,USB-C Charging Cable,1,11.95,09/16/23 17:36,"909 14th St, Los Angeles, CA 90001"
233461,Vareebadd Phone,1,400.0,09/13/23 13:47,"781 7th St, New York City, NY 10001"
233462,Bose SoundSport Headphones,1,99.99,09/03/23 18:59,"14 13th St, Los Angeles, CA 90001"
233463,Lightning Charging Cable,1,14.95,09/02/23 18:09,"927 Highland St, San Francisco, CA 94016"
233464,AA Batteries (4-pack),1,3.84,09/06/23 01:05,"643 7th St, Los Angeles, CA 90001"
233465,AAA Batteries (4-pack),1,2.99,09/22/23 21:16,"875 Jackson St, Los Angeles, CA 90001"
233466,27in FHD Monitor,1,149.99,09/11/23 19:40,"440 Highland St, San Francisco, CA 94016"
233467,Nokia Phone,1,650.0,09/12/23 12:53,"772 Walnut St, San Francisco, CA 94016"
233468,Lightning Charging Cable,2,14.95,09/18/23 21:04,"728 12th St, San Francisco, CA 94016"
233469,USB-C Charging Cable,1,11.95,09/28/23 17:46,"26 Pine St, Seattle, WA 98101"
233470,Wired Headphones,1,11.99,09/14/23 13:27,"355 Pine St, Portland, OR 97035"
233471,27in 4K Gaming Monitor,1,389.99,09/25/23 20:48,"927 11th St, San Francisco, CA 94016"
233472,USB-C Charging Cable,1,11.95,09/07/23 19:49,"729 Washington St, San Francisco, CA 94016"
233473,AA Batteries (4-pack),1,3.84,09/10/23 13:09,"614 Ridge St, Austin, TX 73301"
233474,Wired Headphones,1,11.99,09/13/23 23:24,"557 10th St, Dallas, IL 75001"
233475,27in 4K Gaming Monitor,1,389.99,09/17/23 15:05,"815 Maple St, San Francisco, CA 94016"
233476,AA Batteries (4-pack),1,3.84,09/23/23 01:19,"632 Jefferson St, Seattle, WA 98101"
233477,iPhone,1,700.0,09/15/23 15:24,"56 1st St, Portland, OR 97035"
233477,Lightning Charging Cable,1,14.95,09/15/23 15:24,"56 1st St, Portland, OR 97035"
233478,Wired Headphones,1,11.99,09/07/23 19:59,"827 Ridge St, Atlanta, GA 30301"
233479,20in Monitor,1,109.99,09/10/23 15:18,"640 Highland St, Boston, MA 02215"
233480,AAA Batteries (4-pack),1,2.99,09/21/23 22:31,"170 5th St, Dallas, IL 75001"
233481,AA Batteries (4-pack),2,3.84,09/14/23 09:04,"727 Johnson St, San Francisco, CA 94016"
233482,AA Batteries (4-pack),1,3.84,09/06/23 12:57,"814 Hill St, Seattle, WA 98101"
233483,Lightning Charging Cable,1,14.95,09/28/23 15:00,"376 Hill St, Dallas, IL 75001"
233484,Wired Headphones,1,11.99,09/27/23 12:28,"613 10th St, New York City, NY 10001"
233485,Lightning Charging Cable,1,14.95,09/19/23 14:48,"893 Meadow St, Austin, TX 73301"
233486,Apple Airpods Headphones,1,150.0,09/15/23 12:37,"171 Meadow St, Los Angeles, CA 90001"
233487,AA Batteries (4-pack),1,3.84,09/29/23 10:45,"692 West St, San Francisco, CA 94016"
233488,Nokia Phone,1,650.0,09/05/23 19:43,"392 Cedar St, San Francisco, CA 94016"
233489,27in FHD Monitor,1,149.99,09/01/23 11:10,"761 Park St, Boston, MA 02215"
233490,AAA Batteries (4-pack),2,2.99,09/27/23 10:50,"861 Maple St, Austin, TX 73301"
233491,Lightning Charging Cable,1,14.95,09/27/23 10:14,"538 River St, New York City, NY 10001"
233492,Nokia Phone,1,650.0,09/15/23 10:28,"851 Sunset St, Los Angeles, CA 90001"
233493,Wired Headphones,1,11.99,09/24/23 14:48,"243 11th St, Dallas, IL 75001"
233494,Samsung Phone,1,500.0,09/11/23 20:40,"418 Jackson St, Los Angeles, CA 90001"
233495,AA Batteries (4-pack),1,3.84,09/15/23 16:43,"540 4th St, Portland, ME 04101"
233496,Bose SoundSport Headphones,1,99.99,09/23/23 17:32,"959 Center St, San Francisco, CA 94016"
233497,AAA Batteries (4-pack),1,2.99,09/16/23 15:31,"403 Elm St, Dallas, IL 75001"
233498,Wired Headphones,2,11.99,09/22/23 18:47,"910 Sunset St, San Francisco, CA 94016"
233499,AA Batteries (4-pack),1,3.84,09/19/23 00:57,"743 4th St, Boston, MA 02215"
233500,AA Batteries (4-pack),1,3.84,09/03/23 19:58,"271 Chestnut St, San Francisco, CA 94016"
233501,Apple Airpods Headphones,1,150.0,09/27/23 09:17,"37 Dogwood St, Portland, OR 97035"
233502,Apple Airpods Headphones,1,150.0,09/17/23 13:47,"162 Willow St, Seattle, WA 98101"
233503,USB-C Charging Cable,1,11.95,09/24/23 13:41,"986 Pine St, San Francisco, CA 94016"
233503,USB-C Charging Cable,1,11.95,09/24/23 13:41,"986 Pine St, San Francisco, CA 94016"
233504,Nokia Phone,1,650.0,09/24/23 11:55,"825 Lake St, Los Angeles, CA 90001"
233505,Flatscreen TV,1,300.0,09/23/23 12:11,"677 Elm St, New York City, NY 10001"
233506,USB-C Charging Cable,1,11.95,09/03/23 16:35,"515 Meadow St, San Francisco, CA 94016"
233507,27in FHD Monitor,1,149.99,09/18/23 19:02,"900 Pine St, San Francisco, CA 94016"
233508,Nokia Phone,1,650.0,09/08/23 07:34,"386 Hill St, San Francisco, CA 94016"
233509,Lightning Charging Cable,1,14.95,09/12/23 08:44,"681 North St, New York City, NY 10001"
233510,Bose SoundSport Headphones,1,99.99,09/21/23 13:11,"648 4th St, New York City, NY 10001"
233511,AAA Batteries (4-pack),1,2.99,09/19/23 11:18,"608 Johnson St, Boston, MA 02215"
233512,27in FHD Monitor,1,149.99,09/21/23 23:58,"992 Forest St, Portland, OR 97035"
233513,34in Ultrawide Monitor,1,379.99,09/29/23 12:43,"542 Meadow St, Los Angeles, CA 90001"
233514,Wired Headphones,2,11.99,09/16/23 19:19,"806 Dogwood St, Los Angeles, CA 90001"
233515,Wired Headphones,1,11.99,09/03/23 09:55,"65 Spruce St, San Francisco, CA 94016"
233516,USB-C Charging Cable,1,11.95,09/20/23 19:31,"213 Elm St, San Francisco, CA 94016"
233517,iPhone,1,700.0,09/26/23 22:26,"463 8th St, Atlanta, GA 30301"
233518,27in FHD Monitor,1,149.99,09/11/23 20:59,"419 Wilson St, Dallas, IL 75001"
233519,iPhone,1,700.0,09/11/23 10:20,"212 Washington St, Boston, MA 02215"
233520,27in 4K Gaming Monitor,1,389.99,09/26/23 10:36,"665 12th St, Austin, TX 73301"
233521,27in FHD Monitor,1,149.99,09/26/23 09:57,"166 14th St, Boston, MA 02215"
233522,Apple Airpods Headphones,1,150.0,09/22/23 14:16,"623 Church St, Seattle, WA 98101"
233523,Apple Airpods Headphones,1,150.0,09/25/23 15:04,"26 9th St, Boston, MA 02215"
233524,AA Batteries (4-pack),2,3.84,09/02/23 12:01,"275 11th St, San Francisco, CA 94016"
233525,Nokia Phone,1,650.0,09/26/23 10:01,"688 Washington St, Dallas, IL 75001"
233526,27in 4K Gaming Monitor,1,389.99,09/23/23 18:45,"425 Cedar St, Dallas, IL 75001"
233527,Vareebadd Phone,1,400.0,09/29/23 09:39,"357 Walnut St, New York City, NY 10001"
233528,USB-C Charging Cable,1,11.95,09/02/23 10:56,"162 Pine St, San Francisco, CA 94016"
233529,iPhone,1,700.0,09/16/23 17:03,"193 Hickory St, Dallas, IL 75001"
233529,Lightning Charging Cable,1,14.95,09/16/23 17:03,"193 Hickory St, Dallas, IL 75001"
233529,Apple Airpods Headphones,1,150.0,09/16/23 17:03,"193 Hickory St, Dallas, IL 75001"
233530,AAA Batteries (4-pack),2,2.99,09/07/23 20:52,"183 Willow St, Los Angeles, CA 90001"
233531,AAA Batteries (4-pack),1,2.99,09/18/23 16:50,"901 14th St, San Francisco, CA 94016"
233532,Flatscreen TV,1,300.0,09/27/23 18:05,"266 Forest St, San Francisco, CA 94016"
233533,34in Ultrawide Monitor,1,379.99,09/18/23 17:41,"425 Center St, New York City, NY 10001"
233534,AA Batteries (4-pack),3,3.84,09/29/23 22:49,"417 Meadow St, Dallas, IL 75001"
233535,AAA Batteries (4-pack),1,2.99,09/17/23 17:37,"176 Madison St, Los Angeles, CA 90001"
233536,Lightning Charging Cable,1,14.95,09/15/23 19:34,"451 Lincoln St, Portland, OR 97035"
233536,AAA Batteries (4-pack),1,2.99,09/15/23 19:34,"451 Lincoln St, Portland, OR 97035"
233537,27in 4K Gaming Monitor,1,389.99,10/01/23 02:32,"687 Elm St, Seattle, WA 98101"
233538,AA Batteries (4-pack),1,3.84,09/09/23 08:10,"67 Pine St, Atlanta, GA 30301"
233539,AA Batteries (4-pack),1,3.84,09/27/23 08:49,"230 10th St, San Francisco, CA 94016"
233540,Flatscreen TV,1,300.0,09/17/23 13:44,"842 Madison St, Boston, MA 02215"
233541,iPhone,1,700.0,09/07/23 09:48,"414 6th St, Seattle, WA 98101"
233541,Wired Headphones,1,11.99,09/07/23 09:48,"414 6th St, Seattle, WA 98101"
233542,Wired Headphones,1,11.99,09/15/23 11:10,"96 Maple St, Portland, OR 97035"
233543,AA Batteries (4-pack),1,3.84,09/15/23 03:20,"271 Cherry St, San Francisco, CA 94016"
233544,Bose SoundSport Headphones,1,99.99,09/16/23 17:53,"625 South St, Los Angeles, CA 90001"
233545,Samsung Phone,1,500.0,09/24/23 19:37,"94 Ridge St, New York City, NY 10001"
233546,Bose SoundSport Headphones,1,99.99,09/30/23 20:20,"818 West St, San Francisco, CA 94016"
233547,Wired Headphones,1,11.99,09/07/23 17:08,"114 Elm St, Atlanta, GA 30301"
233548,Vareebadd Phone,1,400.0,09/13/23 18:18,"176 Willow St, Dallas, IL 75001"
233549,Nokia Phone,1,650.0,09/29/23 19:46,"37 Jackson St, Seattle, WA 98101"
233550,27in FHD Monitor,1,149.99,09/27/23 04:47,"342 6th St, New York City, NY 10001"
233551,Bose SoundSport Headphones,1,99.99,09/09/23 21:06,"408 2nd St, Seattle, WA 98101"
233552,Apple Airpods Headphones,1,150.0,09/11/23 20:17,"864 Wilson St, Austin, TX 73301"
233553,Vareebadd Phone,1,400.0,09/23/23 21:16,"824 Dogwood St, Seattle, WA 98101"
233554,Nokia Phone,1,650.0,09/04/23 13:12,"908 Main St, San Francisco, CA 94016"
233555,Samsung Phone,1,500.0,09/27/23 18:26,"860 Chestnut St, Los Angeles, CA 90001"
233556,34in Ultrawide Monitor,1,379.99,09/16/23 10:53,"179 Ridge St, San Francisco, CA 94016"
233557,AA Batteries (4-pack),2,3.84,09/13/23 22:57,"593 Chestnut St, Seattle, WA 98101"
233558,27in FHD Monitor,1,149.99,09/28/23 19:30,"580 12th St, Seattle, WA 98101"
233559,Lightning Charging Cable,1,14.95,09/10/23 11:45,"801 Highland St, New York City, NY 10001"
233560,Lightning Charging Cable,1,14.95,09/01/23 21:31,"859 11th St, San Francisco, CA 94016"
